objectid,pcon18cd,pcon18nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
109,E14000638,Christchurch,412843,100944,-1.81908,50.80789948,106803555.626755,70717.6178968766
110,E14000639,Cities of London and Westminster,528186,180101,-0.15441,51.50531006,17211334.3906894,23629.4637007816
111,E14000640,City of Chester,339234,361923,-2.91006994,53.15097046,132651639.156805,71900.7640512446
112,E14000641,City of Durham,427183,541519,-1.57903004,54.76787186,185936459.86903,84394.6938455676
113,E14000642,Clacton,618208,219640,1.16565704,51.83272934,130003930.730587,84461.1049097472
114,E14000643,Cleethorpes,516863,415672,-0.23449001,53.62456894,326092019.846727,134195.951723948
115,E14000644,Colchester,599674,224891,0.90007699,51.8868103,43932000.1991513,28546.6292638666
116,E14000645,Colne Valley,408584,411123,-1.87177002,53.59661865,179620811.232312,64568.292768169
117,E14000646,Congleton,380524,363233,-2.29276991,53.16587067,212197525.283376,81791.7550860178
118,E14000647,Copeland,314472,504227,-3.31978989,54.4262619,1185396785.01739,192308.446751358
119,E14000648,Corby,496882,284831,-0.57574999,52.45286179,553779404.753711,137079.084090782
120,E14000649,Coventry North East,436254,281108,-1.46825004,52.42676926,26360260.8858762,24495.2628817232
121,E14000650,Coventry North West,430295,281733,-1.55581999,52.4327507,39939504.953394,26680.2227088913
122,E14000651,Coventry South,432903,277293,-1.51789999,52.39268875,33603334.4360017,35628.156430792
123,E14000652,Crawley,526390,137581,-0.19532999,51.12356949,47095409.5782103,33802.3398122451
124,E14000653,Crewe and Nantwich,371379,350813,-2.42844009,53.05381012,133786492.717948,51477.4757733665
125,E14000654,Croydon Central,535760,165277,-0.05102,51.37033081,25838455.4021648,24451.4602779369
126,E14000655,Croydon North,532366,168762,-0.09846,51.40245056,17417799.61701,16822.5559929688
127,E14000656,Croydon South,532475,160711,-0.09989,51.3300705,42509951.2082277,30900.804740783
128,E14000657,Dagenham and Rainham,551634,183167,0.184512,51.52706146,40951713.4654551,39322.2765835882
129,E14000658,Darlington,429096,515409,-1.55189002,54.53313065,30210044.245821,25737.4627139348
130,E14000659,Dartford,556489,173122,0.24999499,51.43547821,86935902.7964314,57278.4576903281
131,E14000660,Daventry,469194,268437,-0.98648,52.30971146,748538261.802665,173674.881186639
132,E14000661,Denton and Reddish,391356,394907,-2.13161993,53.45085907,25764683.057025,31812.0020043135
133,E14000662,Derby North,432427,336128,-1.51912999,52.92161179,28267651.447037,29420.614766897
134,E14000663,Derby South,436265,333095,-1.46238995,52.89410019,31207063.3813584,25134.831161056
135,E14000664,Derbyshire Dales,420966,359002,-1.68812001,53.12778854,910811118.684124,201435.731662255
136,E14000665,Devizes,413665,161526,-1.80514002,51.35263824,1027412094.73054,173883.679806083
137,E14000666,Dewsbury,421195,414257,-1.68102002,53.62443161,126411997.307606,61905.7127484672
138,E14000667,Don Valley,460102,396080,-1.09630001,53.45806885,249108615.513976,105207.476374428
139,E14000668,Doncaster Central,460833,404244,-1.08371997,53.53136063,61254914.6998881,44671.2200805165
140,E14000669,Doncaster North,455325,408912,-1.16597998,53.5739212,257729191.737692,103362.820419335
141,E14000670,Dover,629114,147136,1.27660501,51.17752838,215249495.092062,79716.4833045426
142,E14000671,Dudley North,392287,291911,-2.11509991,52.52502823,23235407.7388255,21815.5624883894
143,E14000672,Dudley South,391503,288292,-2.12655997,52.49248123,24419482.5874327,22215.3537407725
144,E14000673,Dulwich and West Norwood,532835,172745,-0.09023,51.43812943,14261173.4755349,17755.4899959613
145,E14000674,Ealing Central and Acton,519016,181119,-0.28613001,51.51646042,16794309.9267,18930.2568287022
146,E14000675,Ealing North,513800,183124,-0.36061999,51.53556061,22621262.0112144,22222.5075675663
147,E14000676,"Ealing, Southall",514022,180335,-0.35832,51.51044083,15049744.9862327,20826.4087938916
148,E14000677,Easington,441506,544447,-1.35600996,54.79320908,118467388.837939,59410.0951572513
149,E14000678,East Devon,305686,90923,-3.33714008,50.71025085,332853745.803633,83756.5253680254
150,E14000679,East Ham,542702,183073,0.055806,51.52854156,19465293.1639174,22569.1141469017
151,E14000680,East Hampshire,474404,130897,-0.93936998,51.07257843,463529772.065556,105712.597616394
152,E14000681,East Surrey,535127,149673,-0.06601,51.23025131,260082425.534661,74785.3237854194
153,E14000682,East Worthing and Shoreham,516687,106107,-0.34401,50.84272003,54999888.6691127,37652.6743040082
154,E14000683,East Yorkshire,494376,455529,-0.56217003,53.98722076,1052004393.8505,213411.386641722
155,E14000684,Eastbourne,560044,100404,0.26886699,50.7811203,56589918.1520945,30772.5122062175
156,E14000685,Eastleigh,447457,116523,-1.32584,50.94618988,72524529.0271295,50827.194724162
157,E14000686,Eddisbury,355955,357876,-2.6595099,53.11624908,714522893.390616,165795.465706725
158,E14000687,Edmonton,534700,194035,-0.05527,51.62900925,20039082.1205103,19787.789785821
159,E14000688,Ellesmere Port and Neston,342023,374067,-2.87057996,53.26042938,118529897.738028,80004.4316128761
160,E14000689,Elmet and Rothwell,437927,442179,-1.42463005,53.87445068,246272209.606392,100499.744099626
161,E14000690,Eltham,542694,174625,0.052278,51.45262909,22059781.7350289,21427.1493236344
162,E14000691,Enfield North,533311,198224,-0.07373,51.66698074,38724848.9991234,30465.3673764344
163,E14000692,"Enfield, Southgate",529426,196196,-0.13063,51.64966965,24670200.0285276,31706.5797514217
164,E14000693,Epping Forest,542999,199636,0.066831,51.67729187,124548737.915506,60239.4405519536
165,E14000694,Epsom and Ewell,520890,161165,-0.26593,51.33673096,51117199.2037278,32422.1086607879
166,E14000695,Erewash,446887,337932,-1.30382001,52.93675995,61754126.2759902,43452.0726724811
167,E14000696,Erith and Thamesmead,547906,179127,0.129118,51.49174118,24142638.8165194,19686.5774354921
168,E14000697,Esher and Walton,513123,163563,-0.37661999,51.35987854,78538240.4015441,39386.4866938355
169,E14000698,Exeter,293158,92888,-3.51507998,50.72573853,37154255.0626507,27661.3651767151
170,E14000699,Fareham,455613,106747,-1.21124005,50.8575592,62032521.5070972,48032.596797982
171,E14000700,Faversham and Mid Kent,589077,153142,0.70771301,51.24610138,388718306.156042,123074.587937707
172,E14000701,Feltham and Heston,510743,174852,-0.40727001,51.46181107,29654288.4889769,30010.5005530033
173,E14000702,Filton and Bradley Stoke,359917,181651,-2.57924008,51.53232956,80078130.1171651,53055.5628253892
174,E14000703,Finchley and Golders Green,525192,189003,-0.19436,51.58597946,21470961.0753583,21405.3876246685
175,E14000704,Folkestone and Hythe,610318,138086,1.00282395,51.10348129,436914793.876458,131450.957383918
176,E14000705,Forest of Dean,370366,223233,-2.4321599,51.90684128,615203302.898816,182783.305722505
177,E14000706,Fylde,340582,433964,-2.90356994,53.79858017,170453043.697107,71026.1588831611
178,E14000707,Gainsborough,499314,390326,-0.50774002,53.40044022,1205287770.0738,217241.40580129
179,E14000708,Garston and Halewood,343589,385827,-2.84921002,53.36629868,49544439.6854572,32457.704303404
180,E14000709,Gateshead,426033,561058,-1.59514999,54.94350815,23964395.6774018,24686.8371766146
181,E14000710,Gedling,462238,343793,-1.07431996,52.98788071,38842980.1746744,37459.1970598631
182,E14000711,Gillingham and Rainham,580021,165775,0.584472,51.36251068,30519905.1831481,29821.1001724595
183,E14000712,Gloucester,384048,216342,-2.23295999,51.84545135,38030936.8668392,28858.9042036991
184,E14000713,Gosport,458429,101452,-1.17207003,50.80966949,36782332.4234176,33360.768653112
185,E14000714,Grantham and Stamford,502953,323566,-0.47439,52.79985046,682554710.108107,150081.92611437
186,E14000715,Gravesham,566969,169115,0.39874399,51.39649963,97561044.4048772,49206.0475046767
187,E14000716,Great Grimsby,526243,408047,-0.09582,53.55390167,28585696.15326,23964.2507399138
188,E14000717,Great Yarmouth,646760,315882,1.64949596,52.68439865,181846970.932225,74736.1311435449
189,E14000718,Greenwich and Woolwich,541975,178075,0.043321,51.48381042,16636806.741233,24524.9163963261
190,E14000719,Guildford,499332,149061,-0.57866001,51.23209,186120920.431659,96803.9383226353
191,E14000720,Hackney North and Stoke Newington,533597,186241,-0.07416,51.5592308,9662812.84565078,13110.8318688337
192,E14000721,Hackney South and Shoreditch,534514,184214,-0.06172,51.54079819,10639018.827943,17473.494549876
193,E14000722,Halesowen and Rowley Regis,396407,285885,-2.05431008,52.47090149,28878187.5288489,26886.3757403649
194,E14000723,Halifax,408844,427072,-1.86739004,53.73997116,58230711.5798851,42792.3364340688
195,E14000724,Haltemprice and Howden,488260,432100,-0.66215003,53.77777863,432956034.654503,137537.906471348
196,E14000725,Halton,350931,385329,-2.73880005,53.36254883,54765249.994247,46577.3216833447
197,E14000726,Hammersmith,523262,179604,-0.22549,51.50194168,13345460.9247002,15220.6436974179
198,E14000727,Hampstead and Kilburn,525224,184366,-0.19554999,51.54430008,13055073.2769782,18283.3862121826
199,E14000728,Harborough,467129,293798,-1.01169002,52.53792953,203725258.81256,87936.571836344
200,E14000729,Harlow,544823,209764,0.097401,51.7678299,79158710.0153572,59641.399204018
201,E14000730,Harrogate and Knaresborough,433778,459121,-1.48587,54.02698898,148789177.192934,69845.8136312516
202,E14000731,Harrow East,516589,191686,-0.31759,51.61193848,25918622.7168865,23279.6684883648
203,E14000732,Harrow West,514330,188003,-0.35139999,51.57929993,18256123.061537,18845.9444007215
204,E14000733,Hartlepool,447157,531476,-1.27023005,54.67615891,96777420.537475,50800.4220773853
205,E14000734,Harwich and North Essex,606257,226703,0.99667799,51.90068817,392664581.272556,172565.543652002
206,E14000735,Hastings and Rye,586062,116890,0.64591098,50.9214592,181323345.745217,83931.3900860611
207,E14000736,Havant,471155,107782,-0.99024999,50.8651619,48142078.9333725,57907.9704208957
208,E14000737,Hayes and Harlington,508166,177727,-0.44347,51.48815155,45109616.0817292,30659.9481814521
209,E14000738,Hazel Grove,395593,389164,-2.06773996,53.39928818,57230590.1553299,36576.308907318
210,E14000739,Hemel Hempstead,503880,211168,-0.49526,51.78953934,108176045.658842,58416.6976588425
211,E14000740,Hemsworth,440578,416338,-1.38769996,53.64199829,150112438.480108,63521.6962876486
212,E14000741,Hendon,521216,191863,-0.25073001,51.61254883,31202936.8046346,27241.3735237495
213,E14000742,Henley,461998,194076,-1.10541999,51.6420784,681416382.947039,201985.007222398
214,E14000743,Hereford and South Herefordshire,342784,230969,-2.83435011,51.97423172,722892210.64954,179954.952377387
215,E14000744,Hertford and Stortford,540248,214919,0.033228,51.81531143,156074507.684624,75508.1775819488
216,E14000745,Hertsmere,519774,199352,-0.26899001,51.68016815,98413383.7913194,51593.0625289249
217,E14000746,Hexham,390212,567671,-2.15456009,55.00350952,2431837030.07706,304836.071596809
218,E14000747,Heywood and Middleton,385746,412106,-2.21688008,53.60533142,71216063.2287533,46051.7912350725
219,E14000748,High Peak,410474,387660,-1.84397995,53.38568878,538854168.468133,134140.023846513
220,E14000749,Hitchin and Harpenden,517305,222266,-0.29695001,51.88661957,252661003.884129,115484.907773708
221,E14000750,Holborn and St Pancras,529119,183943,-0.13957,51.53961945,14398784.0417389,18197.1744884784
222,E14000751,Hornchurch and Upminster,556974,186879,0.26308101,51.55894852,58391938.090112,43667.6044217048
223,E14000752,Hornsey and Wood Green,529562,189749,-0.13104001,51.59170151,15531312.5124794,20140.4390681888
224,E14000753,Horsham,516728,128429,-0.33627999,51.04336166,344866479.364532,129796.175608071
225,E14000754,Houghton and Sunderland South,436071,550396,-1.43980002,54.84708023,65865267.0127347,36887.7066690065
226,E14000755,Hove,526925,107165,-0.1983,50.85007858,24516576.6315856,20002.9689044347
227,E14000756,Huddersfield,416063,417801,-1.75841999,53.65647125,46400426.7175279,32920.2285366034
228,E14000757,Huntingdon,518908,268395,-0.25759,52.3008194,332061136.314861,143959.442324256
229,E14000758,Hyndburn,374762,428561,-2.38421988,53.75281143,89602478.9696071,43899.6066691988
230,E14000759,Ilford North,544659,190971,0.087245,51.59901047,30178036.1735813,25546.5741717293
231,E14000760,Ilford South,544661,186984,0.085632,51.56317902,15017258.2587944,17006.6606165353
232,E14000761,Ipswich,617201,244449,1.16672301,52.05583954,32959015.0112047,24948.7955287281
233,E14000762,Isle of Wight,447187,85949,-1.33360004,50.67129135,381565591.20322,115592.435530983
234,E14000763,Islington North,530598,186352,-0.11736,51.56092834,6720704.74693341,13339.0582382474
235,E14000764,Islington South and Finsbury,531411,183491,-0.1067,51.53503036,6623405.83332463,12818.7244955519
236,E14000765,Jarrow,431908,562657,-1.50327003,54.9575386,47681765.5393753,36315.5577123649
237,E14000766,Keighley,405387,444493,-1.91951001,53.89659119,167737652.211033,70196.6176917576
238,E14000767,Kenilworth and Southam,442375,260518,-1.38082004,52.24124146,621789126.270681,178050.056056818
239,E14000768,Kensington,525530,179388,-0.19291,51.49950027,7431736.78900371,15606.1839508141
240,E14000769,Kettering,483866,282852,-0.76773,52.43722916,235206971.831006,79997.8932730057
241,E14000770,Kingston and Surbiton,519508,166863,-0.28385001,51.38822937,28829274.8592044,27522.5764522262
242,E14000771,Kingston upon Hull East,512460,431504,-0.29528999,53.76776886,29202456.050266,25681.4148227059
243,E14000772,Kingston upon Hull North,507982,431612,-0.36316001,53.76968002,25501354.887484,26432.0150099947
244,E14000773,Kingston upon Hull West and Hessle,507415,428279,-0.37292001,53.73984909,22783620.2243011,28663.1287125086
245,E14000774,Kingswood,367363,172198,-2.47101998,51.44781113,42734697.1831119,36985.6026820564
246,E14000775,Knowsley,343147,394435,-2.85739994,53.44361115,53580926.5833962,40155.9938394646
247,E14000776,Lancaster and Fleetwood,353827,456824,-2.70596004,54.00537109,438051445.517518,159079.253281873
248,E14000777,Leeds Central,431014,431345,-1.53085995,53.77753067,40677628.1989215,29388.624956865
249,E14000778,Leeds East,435457,435028,-1.46301997,53.81034851,33767917.9113396,29861.2830977013
250,E14000779,Leeds North East,430948,438845,-1.53111005,53.84494019,38887721.0022389,27259.8255887591
251,E14000780,Leeds North West,423969,440852,-1.63701999,53.86334991,60354577.986674,48137.6175168636
252,E14000781,Leeds West,425371,433988,-1.61626995,53.80158997,31077149.6670082,28988.3662902415
253,E14000782,Leicester East,461961,305445,-1.08570004,52.64323044,23079452.482966,19780.665399084
254,E14000783,Leicester South,458931,302341,-1.13102996,52.61566925,21679580.4492442,20078.5032817461
255,E14000784,Leicester West,456222,306111,-1.17039001,52.64984131,27670793.5997232,23626.9048869304
256,E14000785,Leigh,365379,399156,-2.52323008,53.48797989,67416557.5817196,44119.0320324324
257,E14000786,Lewes,545745,107945,0.069178,50.85266113,369485618.969457,123735.668343122
258,E14000787,Lewisham East,538644,173593,-0.00637,51.44435883,14598756.0828498,22831.7246879495
259,E14000788,Lewisham West and Penge,536088,170861,-0.04418,51.42042923,15519034.3234299,19727.9056590978
260,E14000789,"Lewisham, Deptford",537339,175928,-0.02423,51.4656601,12038649.3319987,17700.9650981506
261,E14000790,Leyton and Wanstead,539833,187830,0.016364,51.5719986,15505688.8347149,16902.262661741
262,E14000791,Lichfield,412225,317506,-1.82029998,52.75503922,328352728.989572,102428.976296981
263,E14000792,Lincoln,495467,370186,-0.57163,53.22018051,64155646.7460492,45697.821021064
264,E14000793,"Liverpool, Riverside",336390,388230,-2.95785999,53.38708115,24106686.413323,28035.3464856655
265,E14000794,"Liverpool, Walton",336910,394442,-2.95128989,53.44297028,18876598.3511263,24897.5933537724
266,E14000795,"Liverpool, Wavertree",339023,390195,-2.91865993,53.40504837,16660885.4906555,20037.5693117814
267,E14000796,"Liverpool, West Derby",339745,393988,-2.90853,53.43922043,20649047.3471412,22776.8066573417
268,E14000797,Loughborough,453785,319805,-1.20418,52.7731781,129183773.176284,66236.0577666519
269,E14000798,Louth and Horncastle,535171,382507,0.0279,53.32226181,1383582289.95909,204398.553175265
270,E14000799,Ludlow,350065,287901,-2.73678994,52.48674011,1549985244.81297,278838.573802858
271,E14000800,Luton North,507002,224395,-0.44591999,51.90782928,19390423.164989,18943.272329898
272,E14000801,Luton South,508555,220571,-0.42456001,51.87316132,54891769.4220336,33077.8173464389
273,E14000802,Macclesfield,390591,374746,-2.14252996,53.26963043,303225849.131532,79700.5553820079
274,E14000803,Maidenhead,484373,178129,-0.78596997,51.49581146,183901738.608662,74130.7206951996
275,E14000804,Maidstone and The Weald,575796,149220,0.515706,51.21511078,220711340.361078,99077.6302068014
276,E14000805,Makerfield,358209,402916,-2.63178992,53.52125168,54965363.8278467,42614.9325178015
277,E14000806,Maldon,589011,201762,0.732741,51.68280029,377817593.323909,163271.878573335
278,E14000807,Manchester Central,386354,398829,-2.20710993,53.48601151,28134364.0861045,29219.0859073133
279,E14000808,"Manchester, Gorton",386935,395086,-2.19819999,53.45238113,17791167.7998407,22544.5603301712
280,E14000809,"Manchester, Withington",384007,392132,-2.24214005,53.42575073,18005606.3348628,22300.7400629388
281,E14000810,Mansfield,455047,363637,-1.17804003,53.16703033,78367820.468284,45444.4194636804
282,E14000811,Meon Valley,462539,119561,-1.11064994,50.97206879,403299173.971615,112395.141708786
283,E14000812,Meriden,418290,281451,-1.73240995,52.4307518,144498714.595385,81995.6055321135
284,E14000813,Mid Bedfordshire,504718,239346,-0.47455999,52.04264069,459042755.454175,138102.023275985
