Date,Region,General Ledger Account,Transcation Type,Customer Number,Item Category,Budget
04/01/2018,EUR,10100,STD,200310,Drivetrain,"21,325.14"
04/01/2018,EUR,10100,STD,200310,Pedal,"9,690.46"
04/01/2018,EUR,10100,STD,200310,Tire,"11,855.91"
04/01/2018,EUR,10100,STD,400400,Axle,710.7
04/01/2018,EUR,10100,STD,400400,Tire,"8,870.40"
04/01/2018,EUR,10100,STD,400900,Axle,"66,978.22"
04/01/2018,EUR,10100,STD,400900,Drivetrain,"2,634.93"
04/01/2018,EUR,10100,STD,400900,Tire,"22,163.92"
04/01/2018,EUR,10100,STD,400955,Axle,"13,968.00"
04/01/2018,EUR,10100,STD,400955,Chains,58.2
04/01/2018,EUR,10100,STD,400955,Drivetrain,654.72
04/01/2018,EUR,10100,STD,400955,Tire,"8,801.60"
04/01/2018,EUR,10100,STD,420000,Axle,"5,578.52"
04/01/2018,EUR,10100,STD,420000,Tire,"5,538.42"
04/01/2018,MEA,10100,STD,110015,Bearing,623.2
04/01/2018,MEA,10100,STD,110016,Bearing,25.07
04/01/2018,SAM,10100,CRD,2095,Tire,"-1,784.80"
04/01/2018,SAM,10100,STD,1077,Axle,"7,050.00"
04/01/2018,SAM,10100,STD,1077,Chains,443.94
04/01/2018,SAM,10100,STD,1077,Drivetrain,594.28
04/01/2018,SAM,10100,STD,1077,Pedal,386.28
04/01/2018,SAM,10100,STD,1077,Tire,"40,467.96"
04/01/2018,SAM,10100,STD,4015,Axle,676.2
04/01/2018,SAM,10100,STD,8000,Axle,"32,427.15"
04/01/2018,SAM,10100,STD,8000,Tire,66.42
04/01/2018,SAM,10100,STD,12015,Axle,"35,883.76"
04/01/2018,SAM,10100,STD,17140,Tire,"3,545.68"
04/01/2018,SAM,10100,STD,17145,Axle,357.3
04/01/2018,SAM,10100,STD,17145,Tire,327.24
04/01/2018,USA,10100,STD,110045,Other,"5,952.38"
04/01/2018,USA,10100,STD,110405,Other,220.18
05/01/2018,AUZ,10100,STD,110101,Other,8.4
05/01/2018,AUZ,10100,STD,110102,Other,6.48
05/01/2018,AUZ,10100,STD,110104,Other,191.58
05/01/2018,AUZ,10100,STD,230220,Other,95.68
05/01/2018,AUZ,10100,STD,230220,Pedal,"1,242.30"
05/01/2018,EUR,10100,STD,120100,Other,243.8
05/01/2018,EUR,10100,STD,200115,Chains,24.36
05/01/2018,EUR,10100,STD,200115,Tire,"13,204.00"
05/01/2018,EUR,10100,STD,200310,Axle,"32,809.50"
05/01/2018,EUR,10100,STD,200375,Axle,225.18
05/01/2018,EUR,10100,STD,200375,Chains,34
05/01/2018,EUR,10100,STD,200375,Drivetrain,298.7
05/01/2018,EUR,10100,STD,200375,Tire,526.32
05/01/2018,EUR,10100,STD,400900,Axle,"56,289.87"
05/01/2018,EUR,10100,STD,400900,Drivetrain,"4,543.76"
05/01/2018,EUR,10100,STD,400900,Tire,"107,595.31"
05/01/2018,EUR,10100,STD,400955,Axle,"12,500.00"
05/01/2018,EUR,10100,STD,400955,Chains,102
05/01/2018,EUR,10100,STD,400955,Drivetrain,970.92
05/01/2018,EUR,10100,STD,400955,Tire,"27,350.88"
05/01/2018,EUR,10100,STD,420000,Axle,"8,543.35"
05/01/2018,EUR,10100,STD,420000,Drivetrain,714.24
05/01/2018,EUR,10100,STD,420000,Tire,"19,939.32"
05/01/2018,EUR,10100,STD,431080,Axle,129.95
05/01/2018,EUR,10100,STD,431530,Axle,174.73
05/01/2018,EUR,10100,STD,433200,Axle,112.05
05/01/2018,EUR,10100,STD,499910,Tire,373.52
05/01/2018,SAM,10100,RTN,4050,Axle,-75.9
05/01/2018,SAM,10100,RTN,4050,Tire,-92.34
05/01/2018,SAM,10100,STD,3049,Tire,"22,227.84"
05/01/2018,SAM,10100,STD,4050,Axle,"6,113.74"
05/01/2018,SAM,10100,STD,4050,Chains,"1,131.00"
05/01/2018,SAM,10100,STD,4050,Drivetrain,"14,274.60"
05/01/2018,SAM,10100,STD,4050,Tire,"27,444.00"
05/01/2018,SAM,10100,STD,8000,Axle,"9,185.69"
05/01/2018,SAM,10100,STD,8000,Chains,"3,378.45"
05/01/2018,SAM,10100,STD,8000,Drivetrain,"3,046.93"
05/01/2018,SAM,10100,STD,8000,Pedal,"2,492.55"
05/01/2018,SAM,10100,STD,8000,Saddle,69.6
05/01/2018,SAM,10100,STD,8000,Tire,"16,287.04"
05/01/2018,SAM,10100,STD,12015,Axle,"205,192.50"
05/01/2018,SAM,10100,STD,17145,Tire,749.19
05/01/2018,USA,10100,STD,110300,Pedal,180.6
05/01/2018,USA,10100,STD,110300,Tire,"34,597.29"
06/01/2018,AUZ,10100,STD,110101,Other,5.4
06/01/2018,AUZ,10100,STD,110104,Other,69.75
06/01/2018,AUZ,10100,STD,230220,Axle,"62,681.70"
06/01/2018,AUZ,10100,STD,230220,Other,281.37
06/01/2018,AUZ,10100,STD,230220,Pedal,850.72
06/01/2018,EUR,10100,RTN,420000,Axle,-121.38
06/01/2018,EUR,10100,RTN,420000,Tire,-70.56
06/01/2018,EUR,10100,STD,120100,Other,138.43
06/01/2018,EUR,10100,STD,200025,Axle,"73,646.00"
06/01/2018,EUR,10100,STD,200025,Chains,591.22
06/01/2018,EUR,10100,STD,200025,Drivetrain,"6,647.34"
06/01/2018,EUR,10100,STD,200025,Tire,"111,113.51"
06/01/2018,EUR,10100,STD,200115,Chains,23.31
06/01/2018,EUR,10100,STD,200115,Tire,178.56
06/01/2018,EUR,10100,STD,200305,Axle,450.24
06/01/2018,EUR,10100,STD,400955,Axle,"25,959.85"
06/01/2018,EUR,10100,STD,400955,Chains,64.8
06/01/2018,EUR,10100,STD,400955,Drivetrain,"1,088.10"
06/01/2018,EUR,10100,STD,400955,Tire,"27,547.15"
06/01/2018,EUR,10100,STD,420000,Axle,"1,331.97"
06/01/2018,EUR,10100,STD,420000,Tire,"5,118.54"
06/01/2018,EUR,10100,STD,431360,Axle,169.1
06/01/2018,EUR,10100,STD,433210,Tire,551.88
06/01/2018,EUR,10100,STD,499910,Tire,323.01
06/01/2018,SAM,10100,CRD,4050,Axle,"-8,288.14"
06/01/2018,SAM,10100,CRD,4050,Chains,-486.94
06/01/2018,SAM,10100,CRD,4050,Drivetrain,"-317,717.05"
06/01/2018,SAM,10100,CRD,4050,Pedal,-674.1
06/01/2018,SAM,10100,CRD,4050,Tire,"-396,897.93"
06/01/2018,SAM,10100,STD,1077,Axle,"10,327.07"
06/01/2018,SAM,10100,STD,1077,Chains,379.26
06/01/2018,SAM,10100,STD,1077,Drivetrain,596.7
06/01/2018,SAM,10100,STD,1077,Pedal,30.3
06/01/2018,SAM,10100,STD,1077,Tire,"31,130.81"
06/01/2018,SAM,10100,STD,4050,Axle,833.78
06/01/2018,SAM,10100,STD,4050,Other,7.28
06/01/2018,SAM,10100,STD,4050,Tire,"16,241.50"
06/01/2018,SAM,10100,STD,8000,Axle,54.4
06/01/2018,SAM,10100,STD,12015,Axle,"186,623.70"
06/01/2018,SAM,10100,STD,14020,Axle,"2,236.65"
06/01/2018,SAM,10100,STD,14020,Tire,"29,543.20"
06/01/2018,SAM,10100,STD,999998,Tire,657.04
06/01/2018,USA,10100,STD,110300,Tire,"35,568.82"
07/01/2018,AUZ,10100,STD,110100,Other,21.56
07/01/2018,AUZ,10100,STD,110102,Other,1.16
07/01/2018,AUZ,10100,STD,230220,Axle,"6,115.59"
07/01/2018,AUZ,10100,STD,230220,Other,298.66
07/01/2018,AUZ,10100,STD,231480,Tire,"270,703.65"
07/01/2018,AUZ,10100,STD,232930,Tire,"143,657.19"
07/01/2018,EUR,10100,RTN,420000,Axle,-44.72
07/01/2018,EUR,10100,STD,110072,Axle,"200,319.57"
07/01/2018,EUR,10100,STD,120100,Other,58.2
07/01/2018,EUR,10100,STD,200025,Axle,"3,967.04"
07/01/2018,EUR,10100,STD,200025,Drivetrain,"11,360.16"
07/01/2018,EUR,10100,STD,200025,Pedal,857.54
07/01/2018,EUR,10100,STD,200025,Tire,"2,296.32"
07/01/2018,EUR,10100,STD,200310,Axle,"33,300.10"
07/01/2018,EUR,10100,STD,200310,Drivetrain,"84,885.03"
07/01/2018,EUR,10100,STD,200310,Pedal,"6,565.60"
07/01/2018,EUR,10100,STD,200310,Tire,712
07/01/2018,EUR,10100,STD,400400,Chains,217.14
07/01/2018,EUR,10100,STD,400400,Tire,"14,053.36"
07/01/2018,EUR,10100,STD,400900,Axle,"136,212.56"
07/01/2018,EUR,10100,STD,400900,Drivetrain,"8,119.58"
07/01/2018,EUR,10100,STD,400900,Tire,"37,244.40"
07/01/2018,EUR,10100,STD,400955,Axle,"10,674.18"
07/01/2018,EUR,10100,STD,400955,Chains,137.6
07/01/2018,EUR,10100,STD,400955,Drivetrain,982.08
07/01/2018,EUR,10100,STD,400955,Tire,"22,547.70"
07/01/2018,EUR,10100,STD,420000,Axle,"4,160.44"
07/01/2018,EUR,10100,STD,420000,Tire,"9,854.04"
07/01/2018,MEA,10100,STD,311113,Tire,"123,041.23"
07/01/2018,MEA,10100,STD,311116,Tire,"8,048.16"
07/01/2018,MEA,10100,STD,999998,Tire,"304,046.16"
07/01/2018,SAM,10100,RTN,4050,Axle,-57.27
07/01/2018,SAM,10100,STD,1077,Axle,"13,463.05"
07/01/2018,SAM,10100,STD,1077,Chains,828.63
07/01/2018,SAM,10100,STD,1077,Drivetrain,204.58
07/01/2018,SAM,10100,STD,1077,Pedal,417.64
07/01/2018,SAM,10100,STD,1077,Tire,"49,730.39"
07/01/2018,SAM,10100,STD,3049,Tire,194.7
07/01/2018,SAM,10100,STD,3450,Axle,"23,304.00"
07/01/2018,SAM,10100,STD,3450,Saddle,864.96
07/01/2018,SAM,10100,STD,4050,Axle,825.6
07/01/2018,SAM,10100,STD,4050,Tire,"92,583.16"
07/01/2018,SAM,10100,STD,6010,Axle,"22,520.30"
07/01/2018,SAM,10100,STD,6010,Tire,"20,821.26"
07/01/2018,SAM,10100,STD,8000,Axle,"1,483.69"
07/01/2018,SAM,10100,STD,8000,Chains,85.68
07/01/2018,SAM,10100,STD,8000,Tire,910.8
07/01/2018,SAM,10100,STD,14020,Axle,487.08
07/01/2018,SAM,10100,STD,14020,Bearing,2.85
07/01/2018,SAM,10100,STD,14020,Chains,678.3
07/01/2018,SAM,10100,STD,14020,Tire,"4,698.00"
07/01/2018,SAM,10100,STD,17145,Tire,749.19
07/01/2018,USA,10100,STD,110045,Other,"5,548.89"
08/01/2018,AUZ,10100,STD,110100,Other,19.2
08/01/2018,AUZ,10100,STD,110101,Other,4.48
08/01/2018,AUZ,10100,STD,110104,Other,38.27
08/01/2018,AUZ,10100,STD,230220,Axle,"74,125.20"
08/01/2018,AUZ,10100,STD,230220,Other,682.64
08/01/2018,AUZ,10100,STD,232610,Axle,226.44
08/01/2018,AUZ,10100,STD,232610,Tire,"101,448.72"
08/01/2018,EUR,10100,RTN,420000,Axle,-117.81
08/01/2018,EUR,10100,RTN,420000,Tire,-108.3
08/01/2018,EUR,10100,STD,110250,Axle,97.44
08/01/2018,EUR,10100,STD,110250,Drivetrain,98.7
08/01/2018,EUR,10100,STD,110250,Tire,615.94
08/01/2018,EUR,10100,STD,120100,Other,208.84
08/01/2018,EUR,10100,STD,200375,Axle,160.65
08/01/2018,EUR,10100,STD,200375,Chains,67.2
08/01/2018,EUR,10100,STD,200375,Drivetrain,416.64
08/01/2018,EUR,10100,STD,200375,Tire,478.95
08/01/2018,EUR,10100,STD,400900,Axle,"76,557.69"
08/01/2018,EUR,10100,STD,400900,Drivetrain,"4,739.28"
08/01/2018,EUR,10100,STD,400900,Tire,"18,221.50"
08/01/2018,EUR,10100,STD,400955,Axle,"17,877.60"
08/01/2018,EUR,10100,STD,400955,Chains,117.6
08/01/2018,EUR,10100,STD,400955,Drivetrain,"2,079.48"
08/01/2018,EUR,10100,STD,400955,Tire,"13,649.60"
08/01/2018,EUR,10100,STD,420000,Axle,"2,688.12"
08/01/2018,EUR,10100,STD,420000,Tire,"5,459.04"
08/01/2018,EUR,10100,STD,431160,Axle,142.4
08/01/2018,EUR,10100,STD,433100,Axle,406.98
08/01/2018,EUR,10100,STD,433373,Axle,46
08/01/2018,EUR,10100,STD,499910,Tire,322.92
08/01/2018,SAM,10100,CRD,8000,Axle,"-9,259.38"
08/01/2018,SAM,10100,CRD,8000,Chains,-406.02
08/01/2018,SAM,10100,CRD,8000,Drivetrain,"-10,925.00"
08/01/2018,SAM,10100,CRD,8000,Pedal,"-3,387.06"
08/01/2018,SAM,10100,CRD,8000,Tire,"-82,731.00"
08/01/2018,SAM,10100,STD,1077,Axle,"8,391.06"
08/01/2018,SAM,10100,STD,1077,Chains,650.96
08/01/2018,SAM,10100,STD,1077,Pedal,25.5
08/01/2018,SAM,10100,STD,1077,Tire,"52,218.08"
08/01/2018,SAM,10100,STD,3049,Tire,620.35
08/01/2018,SAM,10100,STD,8000,Axle,693
08/01/2018,SAM,10100,STD,14020,Axle,"4,405.04"
08/01/2018,SAM,10100,STD,14020,Drivetrain,"2,033.20"
08/01/2018,SAM,10100,STD,14020,Tire,"6,274.40"
08/01/2018,USA,10100,STD,110093,Tire,"38,076.33"
09/01/2018,AUZ,10100,STD,110100,Other,81.88
09/01/2018,AUZ,10100,STD,110101,Other,73.16
09/01/2018,AUZ,10100,STD,110104,Other,9.04
09/01/2018,AUZ,10100,STD,230220,Axle,"38,270.40"
09/01/2018,AUZ,10100,STD,230220,Other,48.76
09/01/2018,AUZ,10100,STD,230220,Pedal,"1,348.35"
09/01/2018,AUZ,10100,STD,232530,Tire,"100,464.00"
09/01/2018,EUR,10100,RTN,420000,Axle,-136.89
09/01/2018,EUR,10100,RTN,420000,Tire,-68.06
09/01/2018,EUR,10100,STD,110250,Axle,932.8
09/01/2018,EUR,10100,STD,120100,Other,139.32
09/01/2018,EUR,10100,STD,200115,Axle,68.34
09/01/2018,EUR,10100,STD,200115,Chains,19.95
09/01/2018,EUR,10100,STD,200115,Drivetrain,91.18
09/01/2018,EUR,10100,STD,200115,Tire,506.61
09/01/2018,EUR,10100,STD,400900,Axle,"16,882.92"
09/01/2018,EUR,10100,STD,400900,Drivetrain,79.05
09/01/2018,EUR,10100,STD,400900,Tire,"35,167.56"
09/01/2018,EUR,10100,STD,400955,Axle,"10,937.00"
09/01/2018,EUR,10100,STD,400955,Chains,127.4
09/01/2018,EUR,10100,STD,400955,Drivetrain,253.89
09/01/2018,EUR,10100,STD,400955,Tire,"18,369.88"
09/01/2018,EUR,10100,STD,420000,Axle,"1,730.03"
09/01/2018,EUR,10100,STD,420000,Tire,"9,167.69"
09/01/2018,EUR,10100,STD,431045,Axle,108.1
09/01/2018,EUR,10100,STD,431265,Axle,378.12
09/01/2018,EUR,10100,STD,431305,Axle,125.35
09/01/2018,EUR,10100,STD,433373,Axle,156.06
09/01/2018,EUR,10100,STD,499910,Tire,264.6
09/01/2018,MEA,10100,STD,110015,Bearing,844.2
09/01/2018,MEA,10100,STD,110016,Bearing,48.48
09/01/2018,SAM,10100,STD,3049,Tire,"4,976.28"
09/01/2018,SAM,10100,STD,8000,Axle,52.5
09/01/2018,SAM,10100,STD,8000,Tire,"5,623.80"
09/01/2018,SAM,10100,STD,14020,Axle,"3,811.74"
09/01/2018,SAM,10100,STD,14020,Chains,"1,886.04"
09/01/2018,SAM,10100,STD,14020,Drivetrain,"4,564.80"
09/01/2018,SAM,10100,STD,14020,Pedal,"3,682.78"
09/01/2018,SAM,10100,STD,14020,Saddle,330
09/01/2018,SAM,10100,STD,14020,Tire,"47,478.00"
09/01/2018,USA,10100,STD,112030,Other,"1,144.80"
10/01/2018,AFR,10100,STD,310090,Other,34.85
10/01/2018,AUZ,10100,STD,110100,Other,22.95
10/01/2018,AUZ,10100,STD,110102,Other,6.88
10/01/2018,AUZ,10100,STD,110104,Axle,"1,701.81"
10/01/2018,AUZ,10100,STD,230220,Axle,"84,381.69"
10/01/2018,AUZ,10100,STD,230220,Other,855.36
10/01/2018,AUZ,10100,STD,230220,Pedal,"8,391.32"
10/01/2018,AUZ,10100,STD,233020,Tire,"21,450.72"
10/01/2018,EUR,10100,RTN,420000,Axle,-53.04
10/01/2018,EUR,10100,RTN,420000,Tire,-193.05
10/01/2018,EUR,10100,STD,200115,Chains,21.84
10/01/2018,EUR,10100,STD,200115,Tire,307.09
10/01/2018,EUR,10100,STD,200310,Drivetrain,"28,976.94"
10/01/2018,EUR,10100,STD,200310,Tire,"5,110.56"
10/01/2018,EUR,10100,STD,400900,Axle,"39,806.52"
10/01/2018,EUR,10100,STD,400900,Drivetrain,"1,564.20"
10/01/2018,EUR,10100,STD,400900,Tire,"11,712.96"
10/01/2018,EUR,10100,STD,400955,Axle,"15,338.10"
10/01/2018,EUR,10100,STD,400955,Chains,92
10/01/2018,EUR,10100,STD,400955,Drivetrain,768.18
10/01/2018,EUR,10100,STD,400955,Tire,"14,451.46"
10/01/2018,EUR,10100,STD,420000,Axle,"6,010.80"
10/01/2018,EUR,10100,STD,420000,Drivetrain,262.26
10/01/2018,EUR,10100,STD,420000,Tire,"11,967.83"
10/01/2018,EUR,10100,STD,431165,Axle,67.85
10/01/2018,EUR,10100,STD,433325,Axle,43.35
10/01/2018,EUR,10100,STD,499910,Tire,440.55
10/01/2018,SAM,10100,STD,12015,Axle,"11,848.72"
10/01/2018,SAM,10100,STD,14020,Drivetrain,"10,699.08"
10/01/2018,SAM,10100,STD,14020,Pedal,"3,709.40"
10/01/2018,SAM,10100,STD,14020,Tire,"18,073.00"
10/01/2018,SAM,10100,STD,17140,Tire,"10,128.28"
10/01/2018,SAM,10100,STD,17145,Tire,168.08
10/01/2018,USA,10100,STD,110405,Other,"1,585.74"
11/01/2018,AUZ,10100,STD,110102,Other,1.15
11/01/2018,AUZ,10100,STD,110104,Other,55.64
11/01/2018,AUZ,10100,STD,230220,Other,260.48
11/01/2018,EUR,10100,STD,110072,Axle,779.1
11/01/2018,EUR,10100,STD,120100,Other,57.57
11/01/2018,EUR,10100,STD,200115,Chains,44.28
11/01/2018,EUR,10100,STD,200115,Drivetrain,179.52
11/01/2018,EUR,10100,STD,200115,Tire,589.6
11/01/2018,EUR,10100,STD,200375,Axle,"1,043.40"
11/01/2018,EUR,10100,STD,200375,Drivetrain,516.15
11/01/2018,EUR,10100,STD,200375,Tire,"2,637.72"
11/01/2018,EUR,10100,STD,400955,Axle,"14,672.24"
11/01/2018,EUR,10100,STD,400955,Drivetrain,345.96
11/01/2018,EUR,10100,STD,400955,Tire,"3,833.16"
11/01/2018,EUR,10100,STD,420000,Axle,676.45
11/01/2018,EUR,10100,STD,420000,Tire,"1,443.30"
11/01/2018,EUR,10100,STD,431045,Axle,94.3
11/01/2018,EUR,10100,STD,431280,Tire,189.08
11/01/2018,EUR,10100,STD,433100,Axle,285.76
11/01/2018,EUR,10100,STD,433380,Axle,172.89
11/01/2018,EUR,10100,STD,499910,Tire,"3,906.78"
11/01/2018,SAM,10100,RTN,8000,Chains,-20.79
11/01/2018,SAM,10100,RTN,8000,Tire,-480.24
11/01/2018,SAM,10100,STD,1077,Axle,"28,619.92"
11/01/2018,SAM,10100,STD,1077,Chains,"1,164.24"
11/01/2018,SAM,10100,STD,1077,Drivetrain,"1,105.19"
11/01/2018,SAM,10100,STD,1077,Pedal,291.6
11/01/2018,SAM,10100,STD,1077,Tire,"96,968.34"
11/01/2018,SAM,10100,STD,2095,Axle,"1,472.13"
11/01/2018,SAM,10100,STD,2095,Drivetrain,"19,758.05"
11/01/2018,SAM,10100,STD,2095,Tire,"7,178.60"
11/01/2018,SAM,10100,STD,3049,Drivetrain,785.2
11/01/2018,SAM,10100,STD,4050,Drivetrain,"5,470.08"
11/01/2018,SAM,10100,STD,8000,Axle,"3,245.10"
11/01/2018,SAM,10100,STD,8000,Chains,306.03
11/01/2018,SAM,10100,STD,8000,Pedal,30.4
11/01/2018,SAM,10100,STD,8000,Tire,251.1
11/01/2018,SAM,10100,STD,14020,Axle,"7,529.14"
11/01/2018,SAM,10100,STD,14020,Chains,469.64
11/01/2018,SAM,10100,STD,14020,Pedal,248.46
