Date,Currency,Value
24-Feb-20,AUD,1.5
25-Feb-20,AUD,1.5
26-Feb-20,AUD,1.5
27-Feb-20,AUD,1.5
28-Feb-20,AUD,1.5
29-Feb-20,AUD,1.5
01-Jan-20,AUD,1.46
02-Jan-20,AUD,1.46
03-Jan-20,AUD,1.46
04-Jan-20,AUD,1.46
05-Jan-20,AUD,1.46
06-Jan-20,AUD,1.46
07-Jan-20,AUD,1.46
08-Jan-20,AUD,1.46
09-Jan-20,AUD,1.46
10-Jan-20,AUD,1.46
11-Jan-20,AUD,1.46
12-Jan-20,AUD,1.46
13-Jan-20,AUD,1.46
14-Jan-20,AUD,1.46
15-Jan-20,AUD,1.46
16-Jan-20,AUD,1.46
17-Jan-20,AUD,1.46
18-Jan-20,AUD,1.46
19-Jan-20,AUD,1.46
20-Jan-20,AUD,1.46
21-Jan-20,AUD,1.46
22-Jan-20,AUD,1.46
23-Jan-20,AUD,1.46
24-Jan-20,AUD,1.46
25-Jan-20,AUD,1.46
26-Jan-20,AUD,1.46
27-Jan-20,AUD,1.46
28-Jan-20,AUD,1.46
29-Jan-20,AUD,1.46
30-Jan-20,AUD,1.46
31-Jan-20,AUD,1.46
01-Mar-20,AUD,1.61
02-Mar-20,AUD,1.61
03-Mar-20,AUD,1.61
04-Mar-20,AUD,1.61
05-Mar-20,AUD,1.61
06-Mar-20,AUD,1.61
07-Mar-20,AUD,1.61
08-Mar-20,AUD,1.61
09-Mar-20,AUD,1.61
10-Mar-20,AUD,1.61
11-Mar-20,AUD,1.61
12-Mar-20,AUD,1.61
13-Mar-20,AUD,1.61
14-Mar-20,AUD,1.61
15-Mar-20,AUD,1.61
16-Mar-20,AUD,1.61
17-Mar-20,AUD,1.61
18-Mar-20,AUD,1.61
19-Mar-20,AUD,1.61
20-Mar-20,AUD,1.61
21-Mar-20,AUD,1.61
22-Mar-20,AUD,1.61
23-Mar-20,AUD,1.61
24-Mar-20,AUD,1.61
25-Mar-20,AUD,1.61
26-Mar-20,AUD,1.61
27-Mar-20,AUD,1.61
28-Mar-20,AUD,1.61
29-Mar-20,AUD,1.61
30-Mar-20,AUD,1.61
31-Mar-20,AUD,1.61
01-Jul-19,AUD,1.43
02-Jul-19,AUD,1.43
03-Jul-19,AUD,1.43
04-Jul-19,AUD,1.43
05-Jul-19,AUD,1.43
06-Jul-19,AUD,1.43
07-Jul-19,AUD,1.43
08-Jul-19,AUD,1.43
09-Jul-19,AUD,1.43
10-Jul-19,AUD,1.43
11-Jul-19,AUD,1.43
12-Jul-19,AUD,1.43
13-Jul-19,AUD,1.43
14-Jul-19,AUD,1.43
15-Jul-19,AUD,1.43
16-Jul-19,AUD,1.43
17-Jul-19,AUD,1.43
18-Jul-19,AUD,1.43
19-Jul-19,AUD,1.43
20-Jul-19,AUD,1.43
21-Jul-19,AUD,1.43
22-Jul-19,AUD,1.43
23-Jul-19,AUD,1.43
24-Jul-19,AUD,1.43
25-Jul-19,AUD,1.43
26-Jul-19,AUD,1.43
27-Jul-19,AUD,1.43
28-Jul-19,AUD,1.43
29-Jul-19,AUD,1.43
30-Jul-19,AUD,1.43
31-Jul-19,AUD,1.43
01-Aug-19,AUD,1.48
02-Aug-19,AUD,1.48
03-Aug-19,AUD,1.48
04-Aug-19,AUD,1.48
05-Aug-19,AUD,1.48
06-Aug-19,AUD,1.48
07-Aug-19,AUD,1.48
08-Aug-19,AUD,1.48
09-Aug-19,AUD,1.48
10-Aug-19,AUD,1.48
11-Aug-19,AUD,1.48
12-Aug-19,AUD,1.48
13-Aug-19,AUD,1.48
14-Aug-19,AUD,1.48
15-Aug-19,AUD,1.48
16-Aug-19,AUD,1.48
17-Aug-19,AUD,1.48
18-Aug-19,AUD,1.48
19-Aug-19,AUD,1.48
20-Aug-19,AUD,1.48
21-Aug-19,AUD,1.48
22-Aug-19,AUD,1.48
23-Aug-19,AUD,1.48
24-Aug-19,AUD,1.48
25-Aug-19,AUD,1.48
26-Aug-19,AUD,1.48
27-Aug-19,AUD,1.48
28-Aug-19,AUD,1.48
29-Aug-19,AUD,1.48
30-Aug-19,AUD,1.48
31-Aug-19,AUD,1.48
01-Sep-19,AUD,1.47
02-Sep-19,AUD,1.47
03-Sep-19,AUD,1.47
04-Sep-19,AUD,1.47
05-Sep-19,AUD,1.47
06-Sep-19,AUD,1.47
07-Sep-19,AUD,1.47
08-Sep-19,AUD,1.47
09-Sep-19,AUD,1.47
10-Sep-19,AUD,1.47
11-Sep-19,AUD,1.47
12-Sep-19,AUD,1.47
13-Sep-19,AUD,1.47
14-Sep-19,AUD,1.47
15-Sep-19,AUD,1.47
16-Sep-19,AUD,1.47
17-Sep-19,AUD,1.47
18-Sep-19,AUD,1.47
19-Sep-19,AUD,1.47
20-Sep-19,AUD,1.47
21-Sep-19,AUD,1.47
22-Sep-19,AUD,1.47
23-Sep-19,AUD,1.47
24-Sep-19,AUD,1.47
25-Sep-19,AUD,1.47
26-Sep-19,AUD,1.47
27-Sep-19,AUD,1.47
28-Sep-19,AUD,1.47
29-Sep-19,AUD,1.47
30-Sep-19,AUD,1.47
01-Nov-19,AUD,1.46
02-Nov-19,AUD,1.46
03-Nov-19,AUD,1.46
04-Nov-19,AUD,1.46
05-Nov-19,AUD,1.46
06-Nov-19,AUD,1.46
07-Nov-19,AUD,1.46
08-Nov-19,AUD,1.46
09-Nov-19,AUD,1.46
10-Nov-19,AUD,1.46
11-Nov-19,AUD,1.46
12-Nov-19,AUD,1.46
13-Nov-19,AUD,1.46
14-Nov-19,AUD,1.46
15-Nov-19,AUD,1.46
16-Nov-19,AUD,1.46
17-Nov-19,AUD,1.46
18-Nov-19,AUD,1.46
19-Nov-19,AUD,1.46
20-Nov-19,AUD,1.46
21-Nov-19,AUD,1.46
22-Nov-19,AUD,1.46
23-Nov-19,AUD,1.46
24-Nov-19,AUD,1.46
25-Nov-19,AUD,1.46
26-Nov-19,AUD,1.46
27-Nov-19,AUD,1.46
28-Nov-19,AUD,1.46
29-Nov-19,AUD,1.46
30-Nov-19,AUD,1.46
01-Oct-19,AUD,1.47
02-Oct-19,AUD,1.47
03-Oct-19,AUD,1.47
04-Oct-19,AUD,1.47
05-Oct-19,AUD,1.47
06-Oct-19,AUD,1.47
07-Oct-19,AUD,1.47
08-Oct-19,AUD,1.47
09-Oct-19,AUD,1.47
10-Oct-19,AUD,1.47
11-Oct-19,AUD,1.47
12-Oct-19,AUD,1.47
13-Oct-19,AUD,1.47
14-Oct-19,AUD,1.47
15-Oct-19,AUD,1.47
16-Oct-19,AUD,1.47
17-Oct-19,AUD,1.47
18-Oct-19,AUD,1.47
19-Oct-19,AUD,1.47
20-Oct-19,AUD,1.47
21-Oct-19,AUD,1.47
22-Oct-19,AUD,1.47
23-Oct-19,AUD,1.47
24-Oct-19,AUD,1.47
25-Oct-19,AUD,1.47
26-Oct-19,AUD,1.47
27-Oct-19,AUD,1.47
28-Oct-19,AUD,1.47
29-Oct-19,AUD,1.47
30-Oct-19,AUD,1.47
31-Oct-19,AUD,1.47
01-Dec-19,AUD,1.45
02-Dec-19,AUD,1.45
03-Dec-19,AUD,1.45
04-Dec-19,AUD,1.45
05-Dec-19,AUD,1.45
06-Dec-19,AUD,1.45
07-Dec-19,AUD,1.45
08-Dec-19,AUD,1.45
09-Dec-19,AUD,1.45
10-Dec-19,AUD,1.45
11-Dec-19,AUD,1.45
12-Dec-19,AUD,1.45
13-Dec-19,AUD,1.45
14-Dec-19,AUD,1.45
15-Dec-19,AUD,1.45
16-Dec-19,AUD,1.45
17-Dec-19,AUD,1.45
18-Dec-19,AUD,1.45
19-Dec-19,AUD,1.45
20-Dec-19,AUD,1.45
21-Dec-19,AUD,1.45
22-Dec-19,AUD,1.45
23-Dec-19,AUD,1.45
24-Dec-19,AUD,1.45
25-Dec-19,AUD,1.45
26-Dec-19,AUD,1.45
27-Dec-19,AUD,1.45
28-Dec-19,AUD,1.45
29-Dec-19,AUD,1.45
30-Dec-19,AUD,1.45
31-Dec-19,AUD,1.45
01-May-19,AUD,1.44
02-May-19,AUD,1.44
03-May-19,AUD,1.44
04-May-19,AUD,1.44
05-May-19,AUD,1.44
06-May-19,AUD,1.44
07-May-19,AUD,1.44
08-May-19,AUD,1.44
09-May-19,AUD,1.44
10-May-19,AUD,1.44
11-May-19,AUD,1.44
12-May-19,AUD,1.44
13-May-19,AUD,1.44
14-May-19,AUD,1.44
15-May-19,AUD,1.44
16-May-19,AUD,1.44
17-May-19,AUD,1.44
18-May-19,AUD,1.44
19-May-19,AUD,1.44
20-May-19,AUD,1.44
21-May-19,AUD,1.44
22-May-19,AUD,1.44
23-May-19,AUD,1.44
24-May-19,AUD,1.44
25-May-19,AUD,1.44
26-May-19,AUD,1.44
27-May-19,AUD,1.44
28-May-19,AUD,1.44
29-May-19,AUD,1.44
30-May-19,AUD,1.44
31-May-19,AUD,1.44
01-Apr-19,AUD,1.41
02-Apr-19,AUD,1.41
03-Apr-19,AUD,1.41
04-Apr-19,AUD,1.41
05-Apr-19,AUD,1.41
06-Apr-19,AUD,1.41
07-Apr-19,AUD,1.41
08-Apr-19,AUD,1.41
09-Apr-19,AUD,1.41
10-Apr-19,AUD,1.41
11-Apr-19,AUD,1.41
12-Apr-19,AUD,1.41
13-Apr-19,AUD,1.41
14-Apr-19,AUD,1.41
15-Apr-19,AUD,1.41
16-Apr-19,AUD,1.41
17-Apr-19,AUD,1.41
18-Apr-19,AUD,1.41
19-Apr-19,AUD,1.41
20-Apr-19,AUD,1.41
21-Apr-19,AUD,1.41
22-Apr-19,AUD,1.41
23-Apr-19,AUD,1.41
24-Apr-19,AUD,1.41
25-Apr-19,AUD,1.41
26-Apr-19,AUD,1.41
27-Apr-19,AUD,1.41
28-Apr-19,AUD,1.41
29-Apr-19,AUD,1.41
30-Apr-19,AUD,1.41
01-Jun-19,AUD,1.44
02-Jun-19,AUD,1.44
03-Jun-19,AUD,1.44
04-Jun-19,AUD,1.44
05-Jun-19,AUD,1.44
06-Jun-19,AUD,1.44
07-Jun-19,AUD,1.44
08-Jun-19,AUD,1.44
09-Jun-19,AUD,1.44
10-Jun-19,AUD,1.44
11-Jun-19,AUD,1.44
12-Jun-19,AUD,1.44
13-Jun-19,AUD,1.44
14-Jun-19,AUD,1.44
15-Jun-19,AUD,1.44
16-Jun-19,AUD,1.44
17-Jun-19,AUD,1.44
18-Jun-19,AUD,1.44
19-Jun-19,AUD,1.44
20-Jun-19,AUD,1.44
21-Jun-19,AUD,1.44
22-Jun-19,AUD,1.44
23-Jun-19,AUD,1.44
24-Jun-19,AUD,1.44
25-Jun-19,AUD,1.44
26-Jun-19,AUD,1.44
27-Jun-19,AUD,1.44
28-Jun-19,AUD,1.44
29-Jun-19,AUD,1.44
30-Jun-19,AUD,1.44
01-Feb-19,AUD,1.4
02-Feb-19,AUD,1.4
03-Feb-19,AUD,1.4
04-Feb-19,AUD,1.4
05-Feb-19,AUD,1.4
06-Feb-19,AUD,1.4
07-Feb-19,AUD,1.4
08-Feb-19,AUD,1.4
09-Feb-19,AUD,1.4
10-Feb-19,AUD,1.4
11-Feb-19,AUD,1.4
12-Feb-19,AUD,1.4
13-Feb-19,AUD,1.4
14-Feb-19,AUD,1.4
15-Feb-19,AUD,1.4
16-Feb-19,AUD,1.4
17-Feb-19,AUD,1.4
18-Feb-19,AUD,1.4
19-Feb-19,AUD,1.4
20-Feb-19,AUD,1.4
21-Feb-19,AUD,1.4
22-Feb-19,AUD,1.4
23-Feb-19,AUD,1.4
24-Feb-19,AUD,1.4
25-Feb-19,AUD,1.4
26-Feb-19,AUD,1.4
27-Feb-19,AUD,1.4
28-Feb-19,AUD,1.4
01-Jan-19,AUD,1.4
02-Jan-19,AUD,1.4
03-Jan-19,AUD,1.4
04-Jan-19,AUD,1.4
05-Jan-19,AUD,1.4
06-Jan-19,AUD,1.4
07-Jan-19,AUD,1.4
08-Jan-19,AUD,1.4
09-Jan-19,AUD,1.4
10-Jan-19,AUD,1.4
11-Jan-19,AUD,1.4
12-Jan-19,AUD,1.4
13-Jan-19,AUD,1.4
14-Jan-19,AUD,1.4
15-Jan-19,AUD,1.4
16-Jan-19,AUD,1.4
17-Jan-19,AUD,1.4
18-Jan-19,AUD,1.4
19-Jan-19,AUD,1.4
20-Jan-19,AUD,1.4
21-Jan-19,AUD,1.4
22-Jan-19,AUD,1.4
23-Jan-19,AUD,1.4
24-Jan-19,AUD,1.4
25-Jan-19,AUD,1.4
26-Jan-19,AUD,1.4
27-Jan-19,AUD,1.4
28-Jan-19,AUD,1.4
29-Jan-19,AUD,1.4
30-Jan-19,AUD,1.4
31-Jan-19,AUD,1.4
01-Mar-19,AUD,1.41
02-Mar-19,AUD,1.41
03-Mar-19,AUD,1.41
04-Mar-19,AUD,1.41
05-Mar-19,AUD,1.41
06-Mar-19,AUD,1.41
07-Mar-19,AUD,1.41
08-Mar-19,AUD,1.41
09-Mar-19,AUD,1.41
10-Mar-19,AUD,1.41
11-Mar-19,AUD,1.41
12-Mar-19,AUD,1.41
13-Mar-19,AUD,1.41
14-Mar-19,AUD,1.41
15-Mar-19,AUD,1.41
16-Mar-19,AUD,1.41
17-Mar-19,AUD,1.41
18-Mar-19,AUD,1.41
19-Mar-19,AUD,1.41
20-Mar-19,AUD,1.41
21-Mar-19,AUD,1.41
22-Mar-19,AUD,1.41
23-Mar-19,AUD,1.41
24-Mar-19,AUD,1.41
25-Mar-19,AUD,1.41
26-Mar-19,AUD,1.41
27-Mar-19,AUD,1.41
28-Mar-19,AUD,1.41
29-Mar-19,AUD,1.41
30-Mar-19,AUD,1.41
31-Mar-19,AUD,1.41
01-Jul-18,AUD,1.35
02-Jul-18,AUD,1.35
03-Jul-18,AUD,1.35
04-Jul-18,AUD,1.35
05-Jul-18,AUD,1.35
06-Jul-18,AUD,1.35
07-Jul-18,AUD,1.35
08-Jul-18,AUD,1.35
09-Jul-18,AUD,1.35
10-Jul-18,AUD,1.35
11-Jul-18,AUD,1.35
12-Jul-18,AUD,1.35
13-Jul-18,AUD,1.35
14-Jul-18,AUD,1.35
15-Jul-18,AUD,1.35
16-Jul-18,AUD,1.35
17-Jul-18,AUD,1.35
18-Jul-18,AUD,1.35
19-Jul-18,AUD,1.35
20-Jul-18,AUD,1.35
21-Jul-18,AUD,1.35
22-Jul-18,AUD,1.35
23-Jul-18,AUD,1.35
24-Jul-18,AUD,1.35
25-Jul-18,AUD,1.35
26-Jul-18,AUD,1.35
27-Jul-18,AUD,1.35
28-Jul-18,AUD,1.35
29-Jul-18,AUD,1.35
30-Jul-18,AUD,1.35
31-Jul-18,AUD,1.35
01-Aug-18,AUD,1.37
02-Aug-18,AUD,1.37
03-Aug-18,AUD,1.37
04-Aug-18,AUD,1.37
05-Aug-18,AUD,1.37
06-Aug-18,AUD,1.37
07-Aug-18,AUD,1.37
08-Aug-18,AUD,1.37
09-Aug-18,AUD,1.37
10-Aug-18,AUD,1.37
11-Aug-18,AUD,1.37
12-Aug-18,AUD,1.37
13-Aug-18,AUD,1.37
14-Aug-18,AUD,1.37
15-Aug-18,AUD,1.37
16-Aug-18,AUD,1.37
17-Aug-18,AUD,1.37
18-Aug-18,AUD,1.37
19-Aug-18,AUD,1.37
20-Aug-18,AUD,1.37
21-Aug-18,AUD,1.37
22-Aug-18,AUD,1.37
23-Aug-18,AUD,1.37
24-Aug-18,AUD,1.37
25-Aug-18,AUD,1.37
26-Aug-18,AUD,1.37
27-Aug-18,AUD,1.37
28-Aug-18,AUD,1.37
29-Aug-18,AUD,1.37
30-Aug-18,AUD,1.37
31-Aug-18,AUD,1.37
01-Sep-18,AUD,1.39
02-Sep-18,AUD,1.39
03-Sep-18,AUD,1.39
04-Sep-18,AUD,1.39
05-Sep-18,AUD,1.39
06-Sep-18,AUD,1.39
07-Sep-18,AUD,1.39
08-Sep-18,AUD,1.39
09-Sep-18,AUD,1.39
10-Sep-18,AUD,1.39
11-Sep-18,AUD,1.39
12-Sep-18,AUD,1.39
13-Sep-18,AUD,1.39
14-Sep-18,AUD,1.39
15-Sep-18,AUD,1.39
16-Sep-18,AUD,1.39
17-Sep-18,AUD,1.39
18-Sep-18,AUD,1.39
19-Sep-18,AUD,1.39
20-Sep-18,AUD,1.39
21-Sep-18,AUD,1.39
22-Sep-18,AUD,1.39
23-Sep-18,AUD,1.39
24-Sep-18,AUD,1.39
25-Sep-18,AUD,1.39
26-Sep-18,AUD,1.39
27-Sep-18,AUD,1.39
28-Sep-18,AUD,1.39
29-Sep-18,AUD,1.39
30-Sep-18,AUD,1.39
01-Nov-18,AUD,1.38
02-Nov-18,AUD,1.38
03-Nov-18,AUD,1.38
04-Nov-18,AUD,1.38
05-Nov-18,AUD,1.38
06-Nov-18,AUD,1.38
07-Nov-18,AUD,1.38
08-Nov-18,AUD,1.38
09-Nov-18,AUD,1.38
10-Nov-18,AUD,1.38
11-Nov-18,AUD,1.38
12-Nov-18,AUD,1.38
13-Nov-18,AUD,1.38
14-Nov-18,AUD,1.38
15-Nov-18,AUD,1.38
16-Nov-18,AUD,1.38
17-Nov-18,AUD,1.38
18-Nov-18,AUD,1.38
19-Nov-18,AUD,1.38
20-Nov-18,AUD,1.38
21-Nov-18,AUD,1.38
22-Nov-18,AUD,1.38
23-Nov-18,AUD,1.38
24-Nov-18,AUD,1.38
25-Nov-18,AUD,1.38
26-Nov-18,AUD,1.38
27-Nov-18,AUD,1.38
28-Nov-18,AUD,1.38
29-Nov-18,AUD,1.38
30-Nov-18,AUD,1.38
01-Oct-18,AUD,1.41
02-Oct-18,AUD,1.41
03-Oct-18,AUD,1.41
04-Oct-18,AUD,1.41
05-Oct-18,AUD,1.41
06-Oct-18,AUD,1.41
07-Oct-18,AUD,1.41
08-Oct-18,AUD,1.41
09-Oct-18,AUD,1.41
10-Oct-18,AUD,1.41
11-Oct-18,AUD,1.41
12-Oct-18,AUD,1.41
13-Oct-18,AUD,1.41
14-Oct-18,AUD,1.41
15-Oct-18,AUD,1.41
16-Oct-18,AUD,1.41
17-Oct-18,AUD,1.41
18-Oct-18,AUD,1.41
19-Oct-18,AUD,1.41
20-Oct-18,AUD,1.41
21-Oct-18,AUD,1.41
22-Oct-18,AUD,1.41
23-Oct-18,AUD,1.41
24-Oct-18,AUD,1.41
25-Oct-18,AUD,1.41
26-Oct-18,AUD,1.41
27-Oct-18,AUD,1.41
28-Oct-18,AUD,1.41
29-Oct-18,AUD,1.41
30-Oct-18,AUD,1.41
31-Oct-18,AUD,1.41
01-Dec-18,AUD,1.39
02-Dec-18,AUD,1.39
03-Dec-18,AUD,1.39
04-Dec-18,AUD,1.39
05-Dec-18,AUD,1.39
06-Dec-18,AUD,1.39
07-Dec-18,AUD,1.39
08-Dec-18,AUD,1.39
09-Dec-18,AUD,1.39
10-Dec-18,AUD,1.39
11-Dec-18,AUD,1.39
12-Dec-18,AUD,1.39
13-Dec-18,AUD,1.39
14-Dec-18,AUD,1.39
15-Dec-18,AUD,1.39
16-Dec-18,AUD,1.39
17-Dec-18,AUD,1.39
18-Dec-18,AUD,1.39
19-Dec-18,AUD,1.39
20-Dec-18,AUD,1.39
21-Dec-18,AUD,1.39
22-Dec-18,AUD,1.39
23-Dec-18,AUD,1.39
24-Dec-18,AUD,1.39
25-Dec-18,AUD,1.39
26-Dec-18,AUD,1.39
27-Dec-18,AUD,1.39
28-Dec-18,AUD,1.39
29-Dec-18,AUD,1.39
30-Dec-18,AUD,1.39
31-Dec-18,AUD,1.39
01-May-18,AUD,1.33
02-May-18,AUD,1.33
03-May-18,AUD,1.33
04-May-18,AUD,1.33
05-May-18,AUD,1.33
06-May-18,AUD,1.33
07-May-18,AUD,1.33
08-May-18,AUD,1.33
09-May-18,AUD,1.33
10-May-18,AUD,1.33
11-May-18,AUD,1.33
12-May-18,AUD,1.33
13-May-18,AUD,1.33
14-May-18,AUD,1.33
15-May-18,AUD,1.33
16-May-18,AUD,1.33
17-May-18,AUD,1.33
18-May-18,AUD,1.33
19-May-18,AUD,1.33
20-May-18,AUD,1.33
21-May-18,AUD,1.33
22-May-18,AUD,1.33
23-May-18,AUD,1.33
24-May-18,AUD,1.33
25-May-18,AUD,1.33
26-May-18,AUD,1.33
27-May-18,AUD,1.33
28-May-18,AUD,1.33
29-May-18,AUD,1.33
30-May-18,AUD,1.33
31-May-18,AUD,1.33
01-Apr-18,AUD,1.3
02-Apr-18,AUD,1.3
03-Apr-18,AUD,1.3
04-Apr-18,AUD,1.3
05-Apr-18,AUD,1.3
06-Apr-18,AUD,1.3
07-Apr-18,AUD,1.3
08-Apr-18,AUD,1.3
09-Apr-18,AUD,1.3
10-Apr-18,AUD,1.3
11-Apr-18,AUD,1.3
12-Apr-18,AUD,1.3
13-Apr-18,AUD,1.3
14-Apr-18,AUD,1.3
15-Apr-18,AUD,1.3
16-Apr-18,AUD,1.3
17-Apr-18,AUD,1.3
18-Apr-18,AUD,1.3
19-Apr-18,AUD,1.3
20-Apr-18,AUD,1.3
21-Apr-18,AUD,1.3
22-Apr-18,AUD,1.3
23-Apr-18,AUD,1.3
24-Apr-18,AUD,1.3
25-Apr-18,AUD,1.3
26-Apr-18,AUD,1.3
27-Apr-18,AUD,1.3
28-Apr-18,AUD,1.3
29-Apr-18,AUD,1.3
30-Apr-18,AUD,1.3
01-Jun-18,AUD,1.33
02-Jun-18,AUD,1.33
03-Jun-18,AUD,1.33
04-Jun-18,AUD,1.33
05-Jun-18,AUD,1.33
06-Jun-18,AUD,1.33
07-Jun-18,AUD,1.33
08-Jun-18,AUD,1.33
09-Jun-18,AUD,1.33
10-Jun-18,AUD,1.33
11-Jun-18,AUD,1.33
12-Jun-18,AUD,1.33
13-Jun-18,AUD,1.33
14-Jun-18,AUD,1.33
15-Jun-18,AUD,1.33
16-Jun-18,AUD,1.33
17-Jun-18,AUD,1.33
18-Jun-18,AUD,1.33
19-Jun-18,AUD,1.33
20-Jun-18,AUD,1.33
21-Jun-18,AUD,1.33
22-Jun-18,AUD,1.33
23-Jun-18,AUD,1.33
24-Jun-18,AUD,1.33
25-Jun-18,AUD,1.33
26-Jun-18,AUD,1.33
27-Jun-18,AUD,1.33
28-Jun-18,AUD,1.33
29-Jun-18,AUD,1.33
30-Jun-18,AUD,1.33
01-Feb-18,AUD,1.27
02-Feb-18,AUD,1.27
03-Feb-18,AUD,1.27
04-Feb-18,AUD,1.27
05-Feb-18,AUD,1.27
06-Feb-18,AUD,1.27
07-Feb-18,AUD,1.27
08-Feb-18,AUD,1.27
09-Feb-18,AUD,1.27
10-Feb-18,AUD,1.27
11-Feb-18,AUD,1.27
12-Feb-18,AUD,1.27
13-Feb-18,AUD,1.27
14-Feb-18,AUD,1.27
15-Feb-18,AUD,1.27
16-Feb-18,AUD,1.27
17-Feb-18,AUD,1.27
18-Feb-18,AUD,1.27
19-Feb-18,AUD,1.27
20-Feb-18,AUD,1.27
21-Feb-18,AUD,1.27
22-Feb-18,AUD,1.27
23-Feb-18,AUD,1.27
24-Feb-18,AUD,1.27
25-Feb-18,AUD,1.27
26-Feb-18,AUD,1.27
27-Feb-18,AUD,1.27
28-Feb-18,AUD,1.27
01-Jan-18,AUD,1.26
02-Jan-18,AUD,1.26
03-Jan-18,AUD,1.26
04-Jan-18,AUD,1.26
